,,,,,,,,,,,,,,
Muestra,C.E.,pH,Ts,Na,K,Ca,Mg,HCO3,CI,SO4,SiO2,B,Li,
,microhms/cm,,°C,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,
1,6000,2.1,97.00,19.4,6.80,30.00,5.00,0.00,6.00,2444.00,384.00,3.20,0.00,
2,2180,8.4,53.00,290.0,16.40,68.00,26.00,333.00,17.00,454.00,118.00,0.60,0.10,
3,1980,2.9,97.00,12.0,140.00,30.00,3.20,0.00,13.60,850.00,280.00,0.10,"0,00",
4,1990,7.9,26.00,270.0,4.00,30.00,9.50,350.00,100.00,340.00,85.00,0.40,0.10,
5,3220,7.6,24.00,278.0,150.00,240.00,156.00,344.00,100.00,1439.00,161.00,0.80,0.20,
6,721,8.0,24.00,55.9,5.90,54.00,4.80,230.00,76.80,23.00,81.60,0.00,<0.01,
7,603,7.8,23.00,81.5,4.90,36.40,18.80,273.00,42.30,14.80,59.00,0.20,<0.01,
8,604,7.8,24.00,46.0,3.60,54.40,35.60,283.00,42.30,11.60,79.00,0.70,<0.01,
9,708,7.8,24.00,67.0,3.40,53.80,28.60,253.00,92.20,21.20,83.00,1.30,<0.01,
10,3420,8.0,31.00,513.0,9.30,223.80,31.60,249.00,192.00,1477.00,94.00,1.40,0.22,
11,834,7.9,23.00,120.0,1.60,38.00,21.40,224.00,119.00,28.50,60.00,0.20,<0.01,
12,2150,7.8,31.00,234.0,22.90,187.00,10.40,287.00,131.00,733.60,125.00,1.20,0.16,
13,1993,7.9,24.00,202.0,10.40,103.00,88.60,361.00,405.00,81.60,62.00,0.40,0.04,
14,3290,8.1,24.00,459.0,24.90,159.40,11.60,256.00,507.00,757.00,91.00,1.10,0.17,
15,51400,8.1,22.00,11000.0,350.70,416.80,860.00,131.00,18380.00,2987.00,5.00,4.70,0.16,
16,1040,8.7,30.00,216.0,6.00,21.00,1.60,309.00,137.00,57.90,89.00,0.50,<0.01,
17,2780,9.0,30.00,606.0,18.40,160.20,13.40,200.00,453.00,199.00,99.00,1.90,0.17,
18,4220,7.9,24.00,768.0,29.90,145.60,7.80,462.00,642.00,816.00,103.00,1.00,0.19,
19,2500,7.7,18.00,393.0,16.90,157.80,1.30,340.00,311.00,584.00,105.00,0.50,0.11,
20,955,7.9,24.00,98.0,5.00,67.00,5.20,358.00,115.00,22.40,90.00,0.80,0.03,
21,955,8.7,26.00,140.0,10.20,41.00,5.80,335.00,111.00,31.50,64.00,0.60,0.01,
22,24820,7.66,n.r.,4525,736,241,0.36,97,8051,77,395,190,25.6,
23,513,7.50,n.r.,46,9,56,0.50,140,49,15,25,6,0.2,
24,22100,7.50,n.r.,4110,693,92,0.10,96,7335,69,560,94,23.8,
25,26900,7.27,n.r.,5333,923,197,0.10,68,9601,42,740,186,29.8,
26,22800,7.36,n.r.,4917,778,319,0.27,114,8554,99,162,185,27.8,
27,16300,8.07,n.r.,3344,378,303,0.27,1,5360,52,582,45,5.4,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pozo,CO2,H2S,NH3,He,H2,Ar,N2,CH4,,Muestra,?2H (‰),?18O (‰),,
,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,,1,-44.24,-7.52,,
A-1,950,25.6,4.15,0,7.28,0.19,12,0.49,,2,-44.01,-7.55,,
A-2,966,15.51,12.98,0.075,2.15,0.054,2.32,0.54,,3,-48.55,-2.98,,
A-3,938,11.95,2.6,0,17.52,0.41,37.55,1.2,,4,-51.59,-3.07,,
A-4,969,2.25,8.74,0,3.8,0.18,19.04,1.16,,5,-51.58,-3.07,,
A-5,924,3.27,0.57,0,8.5,0.63,60.64,2.7,,6,-50.99,-3.6,,
,,,,,,,,,,7,-49.25,-2.36,,
,,,,,,,,,,8,-49.06,-3.09,,
,,,,,,,,,,9,-49.88,-3.53,,
,,,,,,,,,,10,-51.51,-2.8,,
,,,,,,,,,,11,-50.87,-3.35,,
,,,,,,,,,,12,-51.14,-2.88,,
,,,,,,,,,,13,-50.13,-3.27,,
