Sample_ID,Na,K,Ca,Mg,Li,Cl,SO4,HCO3,B,SiO2
1,19.4,6.8,30.0,5.0,0.0,6.0,2444.0,0.0,3.2,384.0
2,290.0,16.4,68.0,26.0,0.1,17.0,454.0,333.0,0.6,118.0
3,12.0,140.0,30.0,3.2,0.0,13.6,850.0,0.0,0.1,280.0
4,270.0,4.0,30.0,9.5,0.1,100.0,340.0,350.0,0.4,85.0
5,278.0,150.0,240.0,156.0,0.2,100.0,1439.0,344.0,0.8,161.0
6,55.9,5.9,54.0,4.8,0.01,76.8,23.0,230.0,0.0,81.6
7,81.5,4.9,36.4,18.8,0.01,42.3,14.8,273.0,0.2,59.0
8,46.0,3.6,54.4,35.6,0.01,42.3,11.6,283.0,0.7,79.0
9,67.0,3.4,53.8,28.6,0.01,92.2,21.2,253.0,1.3,83.0
10,513.0,9.3,223.8,31.6,0.22,192.0,1477.0,249.0,1.4,94.0
11,120.0,1.6,38.0,21.4,0.01,119.0,28.5,224.0,0.2,60.0
12,234.0,22.9,187.0,10.4,0.16,131.0,733.6,287.0,1.2,125.0
13,202.0,10.4,103.0,88.6,0.04,405.0,81.6,361.0,0.4,62.0
14,459.0,24.9,159.4,11.6,0.17,507.0,757.0,256.0,1.1,91.0
15,11000.0,350.7,416.8,860.0,0.16,18380.0,2987.0,131.0,4.7,5.0
16,216.0,6.0,21.0,1.6,0.01,137.0,57.9,309.0,0.5,89.0
17,606.0,18.4,160.2,13.4,0.17,453.0,199.0,200.0,1.9,99.0
18,768.0,29.9,145.6,7.8,0.19,642.0,816.0,462.0,1.0,103.0
19,393.0,16.9,157.8,1.3,0.11,311.0,584.0,340.0,0.5,105.0
20,98.0,5.0,67.0,5.2,0.03,115.0,22.4,358.0,0.8,90.0
21,140.0,10.2,41.0,5.8,0.01,111.0,31.5,335.0,0.6,64.0
22,4525.0,736.0,241.0,0.36,25.6,8051.0,77.0,97.0,190.0,395.0
23,46.0,9.0,56.0,0.5,0.2,49.0,15.0,140.0,6.0,25.0
24,4110.0,693.0,92.0,0.1,23.8,7335.0,69.0,96.0,94.0,560.0
25,5333.0,923.0,197.0,0.1,29.8,9601.0,42.0,68.0,186.0,740.0
26,4917.0,778.0,319.0,0.27,27.8,8554.0,99.0,114.0,185.0,162.0
27,3344.0,378.0,303.0,0.27,5.4,5360.0,52.0,1.0,45.0,582.0
